Using a 4-gram for the Lunyu:				      |	Using a 5-gram for the Lunyu:
Xi quoted 62 verses a total of 151 times.		      |	Xi quoted 40 verses a total of 87 times.
Han quoted 86 verses a total of 145 times.		      |	Han quoted 43 verses a total of 58 times.
Tang quoted 147 verses a total of 404 times.		      |	Tang quoted 43 verses a total of 63 times.
1.2		7	1	2	4		      |	1.2		5	1	2	2
1.4		1	1	0	0		      |	1.4		0	0	0	0
1.7		2	2	0	0		      |	1.7		1	1	0	0
1.9		3	1	0	2		      |	1.9		0	0	0	0
1.10		3	0	0	3		      |	1.10		0	0	0	0
1.11		2	0	0	2		      |	1.11		0	0	0	0
1.12		7	1	0	6		      |	1.12		1	1	0	0
1.13		1	0	0	1		      |	1.13		0	0	0	0
2.1		3	2	0	1		      |	2.1		0	0	0	0
2.3		5	0	0	5		      |	2.3		1	0	0	1
2.18		3	0	2	1		      |	2.18		0	0	0	0
2.20		2	0	1	1		      |	2.20		1	0	1	0
2.21		5	0	0	5		      |	2.21		2	0	0	2
3.1		1	0	0	1		      |	3.1		0	0	0	0
3.4		1	0	1	0		      |	3.4		0	0	0	0
3.8		2	0	0	2		      |	3.8		0	0	0	0
3.11		5	0	3	2		      |	3.11		2	0	1	1
3.16		5	0	3	2		      |	3.16		0	0	0	0
3.24		2	0	0	2		      |	3.24		0	0	0	0
4.2		6	0	0	6		      |	4.2		0	0	0	0
4.6		2	0	2	0		      |	4.6		0	0	0	0
4.7		2	0	1	1		      |	4.7		0	0	0	0
4.10		4	0	2	2		      |	4.10		0	0	0	0
4.13		1	0	0	1		      |	4.13		0	0	0	0
4.15		6	4	0	2		      |	4.15		0	0	0	0
4.17		5	5	0	0		      |	4.17		1	1	0	0
4.20		2	0	0	2		      |	4.20		0	0	0	0
4.24		1	0	0	1		      |	4.24		0	0	0	0
5.1		1	0	0	1		      |	5.1		0	0	0	0
5.5		1	0	1	0		      |	5.5		0	0	0	0
5.13		8	0	0	8		      |	5.13		0	0	0	0
5.15		1	1	0	0		      |	5.15		0	0	0	0
5.16		2	0	1	1		      |	5.16		0	0	0	0
5.22		1	0	0	1		      |	5.22		0	0	0	0
5.28		4	0	1	3		      |	5.28		1	0	1	0
